CB My chunked:
ID,Sensitivity,Precision (PPV),Our Quality,Diff HR[bpm],SDNN [s],RMSSD [s],TP,FP,FN
0127_3min,97.5,100.0,100.0,0.0,0.03147921456107996,0.03263075362095312,78,0,2
0127_4min,98.75,100.0,100.0,0.0,0.03223661516270086,0.035701585043288686,79,0,1
0127_5min,98.78048780487805,100.0,100.0,0.33879164313947285,0.03113230614829411,0.02951316185916814,81,0,1
0127_6min,100.0,100.0,100.0,0.17738359201774756,0.019680507133417284,0.022382140636649086,83,0,0
0127_7min,98.75,100.0,100.0,0.7048458149779719,0.012681655433827772,0.015968041676372068,79,0,1
0309_0min,100.0,100.0,100.0,0.12414563662572675,0.029818873635895343,0.009739560469683429,69,0,0
0309_1min,98.52941176470588,100.0,100.0,0.0,0.019514043091260584,0.015286438881414266,67,0,1
0309_2min,98.55072463768117,100.0,100.0,0.0,0.01912907827374542,0.018604514133079262,68,0,1
0309_3min,98.50746268656717,100.0,100.0,0.0,0.016590674883700387,0.015915357712320232,66,0,1
0309_4min,98.48484848484848,100.0,100.0,0.22238695329873792,0.017906974122453588,0.01875771446237126,65,0,1
0309_5min,100.0,100.0,100.0,0.0,0.12277577332883331,0.17496585708756004,65,0,0
0309_6min,98.48484848484848,100.0,100.0,0.10869565217392108,0.14396842365445492,0.19714004547748334,65,0,1
0309_7min,100.0,100.0,100.0,0.21626297577854814,0.019779156347766114,0.021413045521796244,62,0,0
0147_0min,98.57142857142858,100.0,100.0,0.6093721435680806,0.015743767189133985,0.01714246228716862,69,0,1
0147_1min,98.59154929577466,100.0,100.0,0.5012321958147083,0.014035292230349829,0.015832043291099284,70,0,1
0147_2min,98.55072463768117,100.0,100.0,0.7166746297180993,0.013984082575594747,0.017001683418333594,68,0,1
0147_3min,98.52941176470588,100.0,100.0,0.24063527713161648,0.01524181843753318,0.01575452722886753,67,0,1
0147_4min,96.66666666666667,90.625,88.82275132275133,0.23544184586407368,0.29035372945050547,0.3742835449802873,58,6,2
0147_5min,98.57142857142858,100.0,100.0,0.4865982725761455,0.01613422886358947,0.017358764352169844,69,0,1
0147_6min,98.55072463768117,100.0,100.0,0.0,0.015712416355293232,0.01673722438562261,68,0,1
0147_7min,100.0,100.0,100.0,0.24240465416937695,0.013411408490983776,0.01611589967151144,66,0,0
0038_0min,99.13793103448276,99.13793103448276,99.42857142857143,0.6901311249137478,0.01585552287201698,0.01688742683730074,115,1,1
0038_1min,98.30508474576271,100.0,100.0,0.6901311249137478,0.01568397199454685,0.01627313168430757,116,0,2
0038_2min,99.17355371900827,100.0,100.0,0.0,0.011567643964950594,0.013736832421331757,120,0,1
0038_3min,99.18032786885246,100.0,99.3862433862434,0.0,0.01153868292760069,0.012122930868721706,121,0,1
0038_4min,99.16666666666667,100.0,100.0,1.4605647517039841,0.012562715726418516,0.013390192155600777,119,0,1
0038_5min,98.3739837398374,100.0,100.0,2.262443438914019,0.024558823311981694,0.015865918114301186,121,0,2
0038_6min,99.29577464788733,100.0,99.46825396825398,1.0252904989747265,0.011932919082233366,0.011319783125484055,141,0,1
0038_7min,99.27007299270073,100.0,100.0,0.0,0.010282579607157626,0.009912552974267614,136,0,1
0105_0min,97.01492537313433,100.0,90.62169312169313,0.24240465416937695,0.27498135590208655,0.40158943471420416,65,0,2
0105_1min,98.52941176470588,100.0,100.0,0.4658204262256902,0.01873301700009707,0.022157169741195974,67,0,1
0105_2min,100.0,100.0,100.0,0.4865982725761455,0.02037282265946932,0.021694394809930833,69,0,0
0105_3min,98.57142857142858,100.0,100.0,0.7326007326007442,0.018091356869708773,0.020239035891012155,69,0,1
0105_4min,98.57142857142858,100.0,100.0,0.4865982725761455,0.023943807968305045,0.022092073272840126,69,0,1
0105_5min,98.57142857142858,100.0,100.0,0.4865982725761455,0.02320362696860708,0.022412534990709648,69,0,1
0105_6min,100.0,100.0,100.0,0.2460024600245987,0.020807596559590864,0.025129845225575105,69,0,0
0105_7min,100.0,100.0,100.0,0.4865982725761455,0.028512267104018826,0.028382310609877337,66,0,0
0104_0min,99.19354838709677,100.0,100.0,0.773993808049525,0.008471707907568097,0.01144315611424195,123,0,1
0104_1min,99.18032786885246,100.0,100.0,0.7540846250523856,0.008649555758234917,0.010902333588934396,121,0,1
0104_2min,99.16666666666667,100.0,100.0,0.7349338559529599,0.008276402294793208,0.010336227882434027,119,0,1
0104_3min,99.16666666666667,100.0,100.0,0.7165034631000822,0.008132846366164828,0.010986480511796634,119,0,1
0104_4min,99.15254237288136,100.0,100.0,0.6987577639751521,0.008433748946001742,0.010852547064066466,117,0,1
0104_5min,98.30508474576271,100.0,100.0,0.6901311249137478,0.008037718266637454,0.010687844473661529,116,0,2
0104_6min,99.15254237288136,100.0,99.46031746031746,0.6901311249137478,0.007603330986662804,0.010444238871447969,117,0,1
0104_7min,100.0,100.0,100.0,0.6901311249137478,0.007808269794601967,0.010754374256857793,112,0,0
0032_0min,98.91304347826086,100.0,100.0,0.21573421544655957,0.031206115963467437,0.017877373950773084,91,0,1
0032_1min,98.9010989010989,100.0,100.0,0.42211903756859215,0.029640071780496238,0.021213203435596427,90,0,1
0032_2min,97.77777777777777,100.0,100.0,0.0,0.06929400272025368,0.10037590845126144,88,0,2
0032_3min,97.75280898876404,100.0,100.0,0.0,0.036260699814822016,0.024521565805276053,87,0,2
0032_4min,96.66666666666667,100.0,100.0,0.8086253369272356,0.07775059510228646,0.10361820316017738,87,0,3
0032_5min,98.86363636363636,100.0,97.83333333333334,0.0,0.1478266118432007,0.21106607706803307,87,0,1
0032_6min,98.88888888888889,100.0,100.0,0.4101161995898792,0.024459726836467337,0.020678157724917177,89,0,1
0032_7min,100.0,100.0,100.0,1.2072434607645874,0.020411644117048475,0.021110754525586403,84,0,0
0103_0min,99.08256880733946,100.0,100.0,0.0,0.0053348398023787685,0.007275645021726967,108,0,1
0103_1min,99.08256880733946,100.0,100.0,0.0,0.005294117329906045,0.007970069797600038,108,0,1
0103_2min,99.06542056074767,100.0,100.0,0.0,0.004883732593142288,0.0067700320038633095,106,0,1
0103_3min,99.06542056074767,100.0,100.0,0.0,0.005410440342655688,0.007388776427394268,106,0,1
0103_4min,99.07407407407408,100.0,100.0,0.591133004926121,0.005002372760840641,0.0069541202434088316,107,0,1
0103_5min,99.08256880733946,100.0,100.0,0.0,0.004988705326127352,0.006989060034633769,108,0,1
0103_6min,99.08256880733946,100.0,100.0,0.0,0.003959696410077425,0.005532446697169628,108,0,1
0103_7min,100.0,100.0,100.0,0.0,0.005833866324527516,0.005697532241097394,104,0,0
0035_0min,99.1304347826087,100.0,100.0,0.681663258350369,0.01749369484411446,0.019375160009579936,114,0,1
0035_1min,99.1304347826087,100.0,100.0,0.681663258350369,0.0172317345467634,0.019679979352163635,114,0,1
0035_2min,99.1304347826087,100.0,100.0,0.6651884700665391,0.015093562530677578,0.02197807348895062,114,0,1
0035_3min,96.63865546218487,100.0,100.0,0.0,0.15358556697875808,0.15487235839328123,115,0,4
0035_4min,98.29059829059828,100.0,100.0,0.0,0.04950316576971238,0.06969804236235437,115,0,2
0035_5min,99.16666666666667,100.0,100.0,0.0,0.01579338590470988,0.015896746607609757,119,0,1
0035_6min,99.17355371900827,100.0,100.0,0.0,0.008334639635862652,0.008883001816987455,120,0,1
0035_7min,95.72649572649573,100.0,97.23070940503305,1.5180265654649077,0.11792376402672337,0.15796432278437836,112,0,5
0313_0min,98.68421052631578,100.0,100.0,0.0,0.007997240007629606,0.008061785760606888,75,0,1
0313_1min,98.7012987012987,100.0,100.0,0.14963215428738863,0.008520128672302582,0.009169737405405025,76,0,1
